id_rank,CREDIT_FLAG,AGE,mobile_fixed_days,adr_stability_days,consume_steady_byxs_1y,use_mobile_2_cnt_1y,activity_area_stability,last_1y_total_active_biz_cnt,have_car_flag,have_fang_flag,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,avg_puc_sdm_last_1y,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,positive_biz_cnt_1y,ovd_order_cnt_1m,ovd_order_amt_1m,ovd_order_cnt_3m,ovd_order_amt_3m,ovd_order_cnt_6m,ovd_order_amt_6m,ovd_order_cnt_12m,ovd_order_amt_12m,ovd_order_c0t_3m_m1_status,ovd_order_c0t_6m_m1_status,ovd_order_c0t_12m_m1_status,ovd_order_c0t_12m_m3_status,ovd_order_c0t_12m_m6_status,ovd_order_c0t_21_m3_status,ovd_order_c0t_21_m6_status,ovd_order_c0t_51_m3_status,ovd_order_c0t_51_m6_status,relevant_stability,sns_pii
8501,1,31,2,1,1,1,1,3,1,1,7,3,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1
9199,1,59,9,7,7,1,3,5,2,2,10,10,9,9,4,5,6,6,8,9,1,3,1,1,2,2,2,4,3,4,4,8,9,7,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1
10548,1,37,5,10,6,2,7,9,2,2,9,9,9,10,8,5,7,8,8,9,3,9,3,3,1,2,2,8,6,5,5,8,9,9,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,8
10766,1,37,10,8,5,1,2,7,1,2,9,9,9,9,3,4,4,5,6,6,1,3,7,4,1,1,2,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,5
11747,1,36,2,8,4,2,6,5,2,2,2,3,3,4,7,8,7,10,11,10,1,5,10,10,3,3,3,4,3,4,4,9,10,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,8
14237,1,28,2,7,7,3,7,10,1,1,8,9,9,8,7,8,9,8,7,8,1,8,6,4,2,3,3,4,4,3,4,7,5,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,8
14261,1,28,3,2,10,1,2,5,2,2,2,1,1,2,2,3,5,4,4,8,1,10,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,3
15652,1,31,10,9,4,2,4,9,1,2,8,8,9,8,3,4,4,6,6,7,3,3,5,5,1,1,2,3,3,3,4,10,10,7,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,7
15759,1,32,6,7,8,1,3,6,2,2,9,9,8,9,9,10,12,11,12,12,1,7,7,8,1,1,1,10,8,9,8,8,6,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9
16734,1,31,6,6,3,1,3,4,2,2,1,1,1,2,2,2,2,3,2,3,1,9,8,8,1,3,3,1,1,2,2,4,9,6,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,3
17807,1,35,3,3,6,2,2,8,2,2,6,6,6,6,9,8,8,10,11,11,1,8,10,10,2,2,2,9,10,9,7,9,7,4,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,9
18921,1,41,4,8,4,1,2,2,2,1,1,1,1,1,2,2,2,3,2,4,1,6,6,5,1,2,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1
3259,1,35,7,3,8,1,2,4,1,2,9,9,9,9,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,3
23455,-1,45,2,1,8,1,1,2,1,1,1,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,1
3951,-1,23,3,2,8,2,2,5,2,1,3,3,3,2,4,5,7,3,4,4,1,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,3
23744,-1,24,2,2,10,2,3,5,1,1,4,4,4,2,2,3,5,4,6,6,1,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
4887,1,27,7,7,6,1,4,7,2,1,4,5,4,5,8,9,9,8,9,8,3,5,6,5,1,1,3,3,3,3,2,10,10,7,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,6
25442,-1,27,3,7,10,2,2,7,1,1,2,3,3,2,9,11,15,9,10,12,1,2,3,2,3,4,4,6,4,4,3,3,3,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,4
6246,1,25,2,8,9,2,3,7,2,1,3,2,1,5,7,8,9,6,7,8,1,7,3,4,1,1,2,1,2,2,2,2,3,8,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,6
6901,1,27,10,9,5,1,3,7,2,1,14,15,14,12,4,5,7,6,5,4,1,9,3,3,1,1,2,4,4,4,4,7,5,7,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,8
10913,1,23,3,2,4,2,7,7,1,1,5,5,2,4,5,5,6,7,8,9,1,2,10,6,1,1,4,4,3,3,2,5,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,6
14325,1,27,3,2,9,2,7,9,2,1,8,7,8,7,9,9,10,9,9,3,1,5,6,4,1,2,3,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,8
17370,1,30,4,2,5,4,5,10,1,2,4,3,4,4,8,8,8,7,7,8,1,9,10,10,2,3,4,1,1,2,3,5,4,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,6
19757,1,37,10,9,6,2,2,9,2,2,5,5,6,4,10,9,8,10,9,9,3,4,10,10,1,2,3,4,7,6,5,8,8,5,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,9
19873,1,34,5,7,5,1,8,7,2,2,2,2,3,3,4,3,4,8,6,6,1,5,5,9,1,1,2,1,1,1,3,3,4,9,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,5
866,1,30,10,10,10,1,5,5,2,2,2,2,1,2,8,9,7,9,5,4,2,9,1,1,2,2,2,4,3,2,2,2,2,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,4
21557,-1,26,6,4,7,3,2,6,2,2,3,3,4,4,7,8,9,7,7,9,1,8,6,6,2,2,2,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,3
2891,1,27,5,4,4,1,4,7,2,2,4,4,2,5,6,6,5,7,7,3,1,5,5,4,1,2,2,6,4,4,3,10,8,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,9
22401,-1,35,2,2,8,1,2,3,1,1,1,1,1,1,7,8,5,5,4,5,1,5,4,3,2,3,3,3,4,3,3,6,4,2,1,1,1,3,3,3,3,3,3,1,1,1,0,0,0,0,0,0,5,2
22779,-1,27,4,8,5,1,2,9,2,1,5,5,5,4,4,5,4,8,8,8,1,5,7,6,2,3,4,5,4,4,4,10,6,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,6
