id_rank,CREDIT_FLAG,AGE,adr_stability_days,consume_steady_byxs_1y,last_1y_total_active_biz_cnt,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,relevant_stability,sns_pii,use_mobile_2_cnt_1y,activity_area_stability,positive_biz_cnt_1y
3963,1,21,2,6,5,5,5,5,4,5,6,5,7,8,6,3,5,3,1,1,2,1,1,1,1,1,1,1,8,3,2,2,1
24747,0,19,2,10,6,5,5,5,3,7,8,8,5,6,8,2,9,8,2,4,4,1,1,1,1,1,1,1,4,5,4,5,1
5183,1,36,2,9,3,2,2,2,2,2,2,1,3,2,1,2,1,1,2,3,3,1,1,1,1,1,1,1,4,1,2,2,1
5869,1,35,5,6,8,12,12,13,11,3,3,4,5,6,6,9,2,3,1,1,2,2,2,2,3,7,9,6,2,6,2,3,1
6906,1,26,3,8,5,6,6,1,5,3,4,6,5,7,9,8,2,2,1,1,2,1,1,1,1,1,1,3,5,3,1,6,2
11176,1,31,2,9,9,9,8,9,9,7,9,7,7,9,9,3,5,5,1,2,2,10,10,7,7,10,7,4,3,5,1,3,2
132,1,27,2,5,4,6,6,3,6,2,3,4,4,4,6,4,6,5,2,2,2,1,1,1,1,1,1,1,7,3,1,6,1
138,1,26,5,7,9,5,5,5,6,7,8,9,9,10,10,2,10,9,3,4,4,4,3,2,2,7,5,3,2,5,1,4,3
14688,1,33,10,6,10,9,9,10,9,15,15,15,15,15,10,10,10,10,2,3,3,1,1,1,1,1,10,10,5,9,2,8,2
18910,1,48,1,5,2,1,1,1,1,2,2,2,2,2,2,10,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,2,1
19825,1,29,10,8,3,2,3,1,2,4,5,6,7,9,9,10,1,1,1,2,2,1,1,1,1,1,1,7,2,3,2,3,1
20747,0,25,4,7,6,4,4,4,3,5,6,7,5,3,3,5,4,4,1,2,2,3,4,5,4,7,8,5,8,3,2,3,1
20919,0,32,8,7,4,3,3,2,3,2,2,1,2,2,1,2,9,4,1,1,1,1,2,2,2,4,3,2,8,1,1,5,1
21593,0,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1
22066,0,24,4,8,9,5,5,5,4,9,10,9,10,10,9,4,10,10,2,3,3,4,5,5,5,10,9,5,8,9,2,7,1
22676,0,24,1,10,4,2,2,3,2,3,5,3,2,3,4,5,8,7,1,3,3,1,1,1,1,1,1,1,2,1,1,1,2
3144,1,21,1,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
3185,1,32,3,8,2,3,3,3,2,2,2,2,2,2,3,10,4,4,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2
22881,0,37,2,9,8,6,5,3,5,9,10,10,10,12,13,6,9,8,2,3,3,8,7,5,4,5,4,3,2,6,2,4,2
23665,0,28,2,1,3,1,1,4,1,2,4,7,3,5,8,5,1,1,3,4,4,2,2,2,2,2,2,2,1,1,2,2,1
24415,0,25,6,9,4,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,1,1,1,1,1,1,1,4,1,1,2,1
6726,1,37,9,2,5,4,4,4,5,3,3,3,6,5,4,6,9,9,1,1,1,8,7,8,7,10,9,9,6,4,3,4,2
8778,1,41,10,3,5,3,3,3,4,3,4,5,6,8,9,4,1,1,1,1,1,1,1,1,1,1,1,9,3,1,1,3,1
9582,1,28,7,2,5,2,2,2,2,4,4,4,8,7,7,4,3,2,1,2,2,3,2,2,3,9,9,8,6,3,1,5,2
10486,1,27,2,9,7,8,8,6,7,4,4,5,5,5,8,6,7,6,1,2,2,1,1,1,1,1,1,1,3,4,1,4,1
10806,1,31,5,6,2,2,2,2,2,2,2,2,2,2,2,8,1,1,2,2,2,3,2,2,2,2,2,10,5,6,1,3,1
13402,1,39,2,9,9,4,3,4,4,8,9,10,9,9,4,6,6,7,1,3,4,6,5,4,3,4,4,3,2,9,2,3,2
15138,1,27,7,4,10,6,5,4,5,9,9,9,9,9,10,8,10,10,2,3,3,8,9,7,6,8,8,8,7,9,1,3,3
16461,1,30,9,3,6,8,8,8,7,3,3,4,5,6,8,2,8,8,1,1,1,1,1,1,1,1,1,1,3,4,1,3,2
17286,1,24,5,9,10,6,6,5,6,8,7,7,9,7,8,5,10,9,1,1,2,1,1,1,2,2,3,1,7,8,2,5,2
17490,1,33,7,2,6,3,3,3,3,4,5,6,8,8,9,2,10,8,1,1,2,1,1,1,1,1,1,1,8,5,2,2,2
18832,1,33,8,3,7,8,7,6,8,9,10,9,13,13,13,9,1,1,2,2,3,1,1,1,1,1,1,1,7,9,3,6,1
20205,1,30,5,6,8,10,10,10,10,6,6,6,9,9,9,7,6,5,1,1,1,1,1,1,1,1,1,1,5,6,1,9,2
21959,0,31,8,3,9,4,4,4,5,9,9,11,8,9,9,8,10,10,3,3,3,7,5,4,5,10,7,5,7,9,2,4,2
2435,1,26,6,9,9,5,5,6,5,9,11,13,10,11,12,2,10,9,5,5,5,10,8,6,5,7,7,8,4,8,2,3,3
22105,0,52,2,8,10,7,8,8,6,9,10,10,10,11,9,2,10,9,3,5,5,7,5,4,3,4,3,2,3,9,4,4,2
2802,1,24,2,1,2,1,1,1,1,2,2,2,2,2,3,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1
22247,0,30,3,9,10,5,5,5,4,6,7,8,9,8,10,4,10,10,2,2,4,3,3,3,2,5,4,4,2,9,1,2,2
22831,0,27,7,10,6,6,5,6,5,14,11,12,7,8,7,2,10,6,2,3,3,8,6,7,5,6,5,4,7,9,4,4,1
